130;Critical Care;215;13802468;64197,53
107;General Medicine;541;9441428;17451,81
117;Surgery;165;8971088;54370,23
121;Emergency Medicine;162;8546049;52753,39
101;Cardiology;272;7458455;27420,79
131;Geriatrics;111;6349733;57204,8
102;Neurology;190;4890550;25739,74
105;Pulmonology;178;3914240;21990,11
109;Orthopedics;65;3438737;52903,65
119;Oncology;58;3395809;58548,43
103;Gastroenterology;66;3280821;49709,41
112;Dermatology;50;3118256;62365,12
108;Pediatrics;61;3041042;49853,15
129;Family Medicine;62;3030137;48873,18
110;Gynecology;54;2769920;51294,81
123;Rehabilitation;42;2720817;64781,36
113;Psychiatry;36;2445575;67932,64
104;Nephrology;43;2419930;56277,44
118;Radiology;38;2104821;55390,03
115;Urology;38;1933754;50888,26
114;Psychology;16;1590578;99411,13
116;ENT;35;1553385;44382,43
128;Sexology;26;1524154;58621,31
125;Immunology;18;1436116;79784,22
111;Dentistry;20;1433231;71661,55
126;Audiology & Speech;17;1270750;74750
122;Nutrition & Dietetics;19;1224551;64450,05
120;Anesthesiology;21;1210600;57647,62
127;Homeopathy;12;644869;53739,08
124;Hematology;16;643452;40215,75
106;Endocrinology;98;183015;1867,5
